Target,boltz2_pearson_r,chai1_iptm_pearson_r,chai1_agg_pearson_r,has_CWxP,GPCR_class,n_compounds
CB1R,0.838,0.74,0.739,1,Class A,12
MTNR1B,0.836,0.436,0.437,1,Class A,12
CASR,0.791,0.626,0.623,0,Class C,9
GPR85,0.772,-0.032,-0.035,0,Class A,12
CHRM3,0.76,0.691,0.693,0,Class A,12
F2R,0.748,-0.271,-0.269,0,Class A,12
OPN3,0.725,0.713,0.714,1,Class A,12
HTR7,0.722,0.169,0.17,1,Class A,21
OX1R,0.673,0.505,0.506,0,Class A,12
ADRB2,0.645,0.749,0.747,1,Class A,12
DRD3,0.629,0.127,0.124,1,Class A,22
CCR2,0.614,-0.266,-0.254,0,Class A,14
GPR183,0.611,-0.004,-0.008,0,Class A,12
HTR1A,0.601,0.718,0.716,1,Class A,12
PTGER2,0.595,0.603,0.604,0,Class A,12
ADRB1,0.592,0.21,0.215,1,Class A,12
RHO,0.585,0.035,0.034,1,Class A,12
AGTR1,0.581,0.571,0.57,0,Class A,23
HTR1B,0.577,-0.164,-0.164,1,Class A,12
ADRA2A,0.548,0.108,0.109,1,Class A,12
GPR101,0.53,0.647,0.646,0,Class A,12
S1PR4,0.518,0.011,0.005,1,Class A,11
OPN4,0.513,0.355,0.352,0,Class A,12
MTNR1A,0.505,-0.031,-0.036,1,Class A,12
HTR5A,0.474,0.115,0.115,1,Class A,12
CXCR4,0.451,0.571,0.569,1,Class A,12
PROKR1,0.447,0.351,0.347,1,Class A,12
CCKBR,0.436,-0.089,-0.094,1,Class A,10
HTR1F,0.423,0.158,0.152,1,Class A,11
ADORA3,0.418,0.581,0.58,0,Class A,12
ADORA2B,0.418,0.337,0.336,1,Class A,12
GPR39,0.38,0.089,0.089,1,Class A,12
GPR182,0.377,-0.261,-0.265,1,Class A,12
FZD2,0.368,0.556,0.549,0,Class F,12
ADGRE5,0.35,-0.509,-0.509,0,Class B,12
HRH3,0.342,-0.525,-0.533,1,Class A,12
OX2R,0.326,0.47,0.469,0,Class A,12
OPRK1,0.292,-0.16,-0.159,1,Class A,12
HTR1D,0.288,0.452,0.454,1,Class A,12
HTR2A,0.284,0.071,0.07,0,Class A,20
OPRL1,0.284,0.549,0.549,1,Class A,11
ADORA2A,0.278,0.252,0.25,1,Class A,12
GPR97,0.276,0.384,0.399,0,Class A,12
LTB4R,0.258,-0.191,-0.189,0,Class A,12
CHRM5,0.254,0.349,0.346,0,Class A,12
CHRM2,0.247,-0.181,-0.184,0,Class A,11
CHRM4,0.244,-0.12,-0.114,0,Class A,11
TBXA2R,0.239,0.39,0.392,1,Class A,12
GPR50,0.233,0.033,0.036,1,Class A,12
DRD1,0.201,-0.038,-0.039,1,Class A,12
HRH2,0.196,-0.3,-0.299,1,Class A,12
FZD9,0.192,-0.252,-0.257,0,Class F,12
ADRA2B,0.188,-0.021,-0.017,1,Class A,21
MCHR1,0.175,-0.424,-0.423,1,Class A,22
GPR139,0.174,0.555,0.553,0,Class A,11
ADRA1B,0.172,0.43,0.431,1,Class A,11
FZD3,0.171,0.295,0.289,0,Class F,12
GPR116,0.155,0.087,0.103,0,Class B,12
ADORA1,0.151,0.094,0.09,0,Class A,24
GPR75,0.148,0.468,0.466,0,Class A,12
GPR1,0.142,-0.16,-0.16,1,Class A,12
ADRA1A,0.137,-0.391,-0.392,1,Class A,12
HTR2C,0.136,-0.595,-0.595,0,Class A,12
CHRM1,0.132,0.404,0.406,0,Class A,12
FPR3,0.128,0.463,0.462,1,Class A,12
EDG1,0.117,0.12,0.118,1,Class A,12
PTAFR,0.086,-0.077,-0.076,0,Class A,12
GPR40,0.086,0.364,0.35,0,Class A,15
LPAR2,0.075,0.234,0.238,1,Class A,12
GPR173,0.067,0.037,0.039,0,Class A,12
GHSR,0.063,0.195,0.193,1,Class A,12
CXCR6,0.028,0.129,0.123,0,Class A,12
HTR6,0.009,0.309,0.308,0,Class A,12
GCGR,-0.004,0.268,0.269,0,Class B,12
HTR4,-0.04,-0.317,-0.321,1,Class A,12
NPY5R,-0.071,-0.016,-0.024,0,Class A,12
HRH4,-0.078,-0.74,-0.738,1,Class A,12
BRS3,-0.085,0.34,0.339,1,Class A,12
HTR2B,-0.086,0.089,0.089,0,Class A,12
GPR37,-0.095,0.564,0.559,0,Class A,12
GPR143,-0.099,-0.005,-0.005,0,Class A,13
PTGER3,-0.104,-0.22,-0.219,1,Class A,19
GPR84,-0.128,-0.01,-0.007,0,Class A,12
FZD1,-0.135,-0.453,-0.454,0,Class F,12
LGR4,-0.144,0.231,0.245,0,Class A,12
OPN5,-0.145,-0.337,-0.339,0,Class A,11
CCKAR,-0.153,-0.087,-0.09,1,Class A,12
GPR52,-0.209,-0.715,-0.735,0,Class A,11
SSTR5,-0.217,-0.529,-0.535,1,Class A,12
HRH1,-0.233,0.088,0.095,1,Class A,12
GPR123,-0.24,0.146,0.146,0,Class B,12
GRM5,-0.271,0.049,0.049,0,Class C,12
TACR1,-0.278,0.121,0.121,1,Class A,12
CRHR1,-0.286,0.255,0.257,0,Class B,18
GPR37L1,-0.303,-0.127,-0.127,0,Class A,12
GPR151,-0.305,0.448,0.445,0,Class A,12
CCR8,-0.319,-0.633,-0.63,0,Class A,10
CNR2,-0.423,0.25,0.25,1,Class A,12
SMO,-0.557,0.289,0.298,0,Class F,12
CCR3,-0.614,0.222,0.222,0,Class A,10
