Target,n_compounds,n_binder,n_nonbinder,binder_mean,binder_std,binder_max,nb_mean,nb_std,nb_5pct,nb_95pct,nb_min,Sep,binder_top_margin
ADRB1,1200,12,1188,1.9712,0.8036,3.6764,-0.1851,0.6673,-1.208,0.9566,-2.2604,1.466,2.7197
AGTR1,1200,23,1177,1.9745,1.2568,3.0221,-0.5301,0.6832,-1.5577,0.6709,-2.2738,1.2911,2.3511
OX2R,1200,12,1188,0.8548,0.5449,1.7506,-0.2978,0.6056,-1.2039,0.7464,-2.0799,1.0018,1.0042
OX1R,1200,12,1188,0.8775,0.7162,1.8207,-0.396,0.5821,-1.262,0.668,-1.9751,0.9809,1.1527
CB1R,1200,12,1188,0.4805117001136144,1.2152641046526853,2.278456211090088,-0.7394259340782032,0.6887145674244032,-1.8159455895423886,0.4831374466419216,-2.46710205078125,0.6407307246046843,1.7953187644481663
MTNR1B,1200,12,1188,0.7765,1.2471,2.7922,-0.1538,0.6366,-1.16,0.9386,-2.1009,0.4939,1.8536
DRD3,1200,22,1178,0.6743,0.7765,2.1577,0.0024,0.654,-1.0281,1.1615,-1.6777,0.4697,0.9962
CXCR4,1200,12,1188,0.0083,0.7336,1.4614,-0.4686,0.6878,-1.5317,0.7813,-2.3671,0.3355,0.6801
PTGER2,1200,12,1188,-0.3047,0.4287,0.2869,-0.6398,0.6346,-1.635,0.481,-2.4204,0.3152,-0.1942
CHRM3,1200,12,1188,0.2388,1.0288,3.0691,-0.1899,0.6055,-1.0754,0.8816,-1.8602,0.2623,2.1875
HTR4,1200,12,1188,0.3565,0.6077,1.3241,0.1607,0.628,-0.8572,1.2312,-1.4001,0.1585,0.0929
F2R,1200,12,1188,-0.257,0.6485,1.2273,-0.4475,0.6056,-1.3764,0.6323,-2.0039,0.1519,0.595
HTR7,1200,21,1179,0.1755,0.7448,2.5677,-0.012,0.6457,-1.0554,1.0886,-1.7164,0.1348,1.479
HTR6,1200,12,1188,0.0399,0.8115,1.7868,-0.1249,0.6194,-1.0977,0.9266,-1.8591,0.1152,0.8602
GPR85,1200,12,1188,-0.2116,0.582,0.9546,-0.3009,0.5857,-1.2088,0.7013,-2.0911,0.0764,0.2533
SMO,1200,12,1188,-0.2213,0.3388,0.4672,-0.221,0.6285,-1.1756,0.909,-1.8366,-0.0003,-0.4417
CCR2,1200,14,1186,-0.2345,0.7317,0.9261,-0.2197,0.6419,-1.1813,0.9227,-1.9748,-0.0108,0.0034
CCR3,1200,10,1190,0.0314,0.6064,1.1328,0.0645,0.7956,-1.1419,1.4898,-2.2118,-0.0236,-0.357
GPR37L1,1200,12,1188,-0.7931,0.5901,0.3739,-0.3444,0.5886,-1.228,0.6363,-1.9518,-0.3807,-0.2624
CNR2,1200,12,1188,-0.4944,0.5728,0.5529,-0.0264,0.6521,-1.0504,1.1015,-1.8644,-0.3821,-0.5486
